time_s,angle_of_attack_deg
3.2486261080000003,74.5342458709824
3.248629359,74.57523514946158
3.248641642,74.61058419978457
3.2527933760000005,74.64064546059261
3.2627933760000003,74.83556426496655
3.2727933760000005,74.88095943503822
3.2827933760000003,74.82282291677711
3.2927933760000005,74.6942398769395
3.296650612,74.6876233289219
3.296653712,74.68020327004382
3.2966564220000003,74.67200055918639
3.296661369,74.66303534295002
3.296666277,74.65332708574458
3.2966718630000003,74.64289459837103
3.296676247,74.63175606518256
3.2966803760000003,74.61992906990582
3.2966846260000002,74.60743062019921
3.296689335,74.59427717101919
3.296698108,74.58048464686121
3.2967056,74.56606846293839
3.2967099380000002,74.55104354535594
3.2967144150000003,74.53542435033653
3.3027933760000003,74.51922488254823
3.303089061,74.48943326802909
3.3030916280000002,74.45359717321725
3.30974142,74.41213741532621
3.309767312,74.36543683452946
3.3127933760000006,74.31384447896147
3.315922215,74.25151951800862
3.31593545,74.17502421694307
3.3227933760000004,74.08584520480146
3.331130378,74.05173077428938
3.3311348720000002,74.0143474310269
3.331139095,73.97386626131139
3.331146081,73.93044668729128
3.331149275,73.88423744370797
3.332793376,73.83537745833527
3.3385511720000003,73.77479241595098
3.340666102,73.70807869565475
3.3406850660000003,73.6356819691594
3.3427933760000004,73.55800598561716
3.34406326,73.4126615438642
3.352793376,73.2482965362291
3.3627933760000004,72.90224837021711
3.365548179,72.71638567900709
3.372793376,72.51849894683234
3.3827933760000004,72.09883992712051
3.392793376,71.64816150673181
3.397952098,71.61713319993692
3.39797204,71.58601384224792
3.397978381,71.55480480593216
3.398000295,71.52350743622029
3.39800409,71.49212305197346
3.3980158670000002,71.46065294633101
3.3980258940000003,71.42909838733891
3.398033589,71.39746061856007
3.398037778,71.36574085966686
3.39804544,71.33394030701656
3.398054557,71.30206013421014
3.3980598090000003,71.27010149263519
3.398068109,71.2380655119933
3.398072955,71.20595330081252
3.4027933760000004,71.17376594694535
3.412793376,70.6843583557046
3.4142239190000003,70.62292610369651
