time_s,motor_avg_rpm,motor1_rpm,motor2_rpm,motor3_rpm,motor4_rpm,pitch_deg,roll_deg,yaw_deg,gps_speed_ms,altitude_rel_m,voltage_V,current_A,power_W
5.322401,11842.857142857141,9271.42857142857,14242.857142857143,14242.857142857143,9614.285714285714,2.311501407267607,-1.8080621055150699,0.02359545995498383,0.41,1.4899999999999998,22.51,25.361538461538462,644.9383229230771
5.342419,11928.571428571428,9485.714285714286,14385.714285714286,14057.142857142857,9785.714285714286,2.391846990137328,-1.8186805588613493,0.02608129650995751,0.41,1.7600000000000002,22.15,23.66923076923077,643.7829298461538
5.362435,11839.285714285714,9714.285714285714,14385.714285714286,13514.285714285714,9742.857142857143,2.40356999257201,-1.8069177568496408,0.026391126101014174,0.41,1.6699999999999995,22.36,24.03846153846154,645.1870927692307
5.382452,11853.57142857143,9900.0,14100.0,13471.42857142857,9942.857142857143,2.383586253356668,-1.8061663230892393,0.025705807447366297,0.41,1.6699999999999995,23.13,30.49230769230769,646.8711993846154
5.402468,11892.857142857141,9800.0,14057.142857142857,13557.142857142857,10157.142857142857,2.4448161515956306,-1.8122714227294037,0.027590000069952356,0.41,1.6699999999999995,22.71,23.3,648.1587541538462
5.422485,11846.42857142857,9971.42857142857,13914.285714285714,13028.57142857143,10471.42857142857,2.51210600665449,-1.810516985648963,0.029667958190367414,0.41,1.4899999999999998,22.54,25.315384615384616,648.4329101538461
5.442502,11939.285714285716,10300.0,14185.714285714286,12800.0,10471.42857142857,2.5213517522389437,-1.8117294275160492,0.029914584990774463,0.41,1.7600000000000002,23.37,25.592307692307692,648.5625012307693
5.462519,11867.857142857145,10657.142857142857,13514.285714285714,12714.285714285714,10585.714285714286,2.554198206841806,-1.8051655115423664,0.030910646599371344,0.41,1.6699999999999995,21.91,24.26153846153846,649.6293116923077
5.482535,11932.142857142857,10614.285714285714,13400.0,12871.42857142857,10842.857142857143,2.592947458010115,-1.8291506134982,0.03210078223228153,0.28,1.7600000000000002,22.2,25.546153846153846,650.7329406153847
5.502552,11932.142857142857,10842.857142857143,13185.714285714286,12428.57142857143,11271.42857142857,2.676964847026331,-1.8297165524417522,0.03474454211999434,0.28,1.7600000000000002,22.17,27.23846153846154,651.3299516923078
5.522569,11903.571428571428,11128.57142857143,13428.57142857143,11871.42857142857,11185.714285714286,2.7253118738454574,-1.8411634824847103,0.03625776141003638,0.28,1.5799999999999996,22.48,23.946153846153845,652.555562
5.542585,11932.142857142857,11457.142857142857,13228.57142857143,11642.857142857143,11400.0,2.7324512998234733,-1.8273516827644805,0.03646009982198125,0.28,1.4899999999999998,22.96,31.76923076923077,654.2824661538461
5.562602,12082.142857142857,11900.0,12828.57142857143,12171.42857142857,11428.57142857143,2.8000399050006,-1.8239584822799886,0.03859560787790285,0.28,1.4099999999999997,22.48,25.638461538461538,655.0390360000001
5.582619,12064.285714285714,11614.285714285714,12600.0,12100.0,11942.857142857143,2.861180246311251,-1.7859261483997855,0.04053653329485201,0.48,1.5799999999999996,22.54,26.184615384615384,654.7632136923077
5.602636,11989.285714285716,11971.42857142857,12600.0,11514.285714285714,11871.42857142857,2.906424552777409,-1.7743449521304597,0.04192973209574797,0.48,1.5799999999999996,23.06,26.923076923076923,654.1437796923077
5.622653,12071.428571428572,11942.857142857143,12757.142857142857,11485.714285714286,12100.0,2.96321002092697,-1.7737096245591693,0.04368743810505682,0.48,1.3199999999999998,22.02,29.346153846153847,653.9604092307692
5.642669,12125.0,12528.57142857143,12314.285714285714,11514.285714285714,12142.857142857143,3.019479657984581,-1.7701137367885285,0.04544317131742547,0.48,1.6699999999999995,21.74,26.646153846153847,652.5415335384615
5.662686,12067.857142857141,12242.857142857143,11971.42857142857,11842.857142857143,12214.285714285714,3.064989272307784,-1.763689880904123,0.04687378398038056,0.88,1.4899999999999998,21.56,36.16923076923077,652.0071253846154
5.682703,12078.571428571428,12285.714285714286,12042.857142857143,11557.142857142857,12428.57142857143,3.153489021787254,-1.7843759124177927,0.04963467216448123,0.88,1.6699999999999995,23.09,39.19230769230769,650.5309798461539
5.70272,12157.142857142857,12428.57142857143,12042.857142857143,11557.142857142857,12600.0,3.2599816793732694,-1.784943566398021,0.05296816616041255,0.88,1.6699999999999995,22.03,26.6,649.3525804615384
5.722736,12160.714285714284,12685.714285714286,12242.857142857143,11185.714285714286,12528.57142857143,3.314426951327578,-1.770449833980553,0.05468956780978401,0.88,1.4899999999999998,22.34,31.684615384615384,649.2826507692308
5.742753,12164.285714285714,12571.42857142857,11800.0,11485.714285714286,12800.0,3.366741215570263,-1.7820663961127654,0.05635294449227493,0.88,1.4899999999999998,21.74,28.153846153846153,648.2126941538461
5.76277,12221.428571428572,12457.142857142857,11971.42857142857,11514.285714285714,12942.857142857143,3.48185228784175,-1.7901944165525374,0.05999746008362792,0.95,1.6699999999999995,22.5,23.115384615384617,646.9822356923077
5.782787,12185.714285714284,12528.57142857143,11671.42857142857,11314.285714285714,13228.57142857143,3.5907860509238647,-1.799326899097284,0.06345604653640881,0.95,1.6699999999999995,21.69,34.792307692307695,645.1963583076923
5.802803,12300.0,12571.42857142857,12385.714285714286,11100.0,13142.857142857143,3.669872375565191,-1.8096364447785085,0.0659976133027998,0.95,1.6699999999999995,22.65,33.96923076923077,644.1547478461539
5.82282,12496.42857142857,12942.857142857143,12171.42857142857,11400.0,13471.42857142857,3.7765117946824875,-1.8023343313818532,0.06941960382608803,0.95,1.5799999999999996,22.27,36.62307692307692,642.9176861538463
5.842837,12532.142857142857,12800.0,12214.285714285714,11842.857142857143,13271.42857142857,3.8647703333005086,-1.8222245376452317,0.07228357632891523,0.95,1.6699999999999995,22.44,25.823076923076922,642.6877467692307
5.862854,12489.285714285714,12714.285714285714,12171.42857142857,11842.857142857143,13228.57142857143,3.9738026392871255,-1.830960841195176,0.07583183716157493,1.37,1.7600000000000002,21.96,38.23076923076923,642.6085146153846
5.88287,12503.57142857143,12914.285714285714,12285.714285714286,11671.42857142857,13142.857142857143,4.094511945426907,-1.8153237218540395,0.0797514215406053,1.37,2.11,22.19,25.73076923076923,641.4963416923076
5.902887,12571.428571428572,12942.857142857143,12500.0,11900.0,12942.857142857143,4.178541478616273,-1.8170341185812942,0.08252315866392708,1.37,2.11,21.51,33.146153846153844,640.6682855384615
5.922904,12539.285714285714,13028.57142857143,11800.0,12457.142857142857,12871.42857142857,4.293646104623682,-1.8257527265580937,0.08629913101726076,1.37,1.94,22.11,29.3,639.630390923077
5.942921,12653.57142857143,12942.857142857143,12171.42857142857,12357.142857142857,13142.857142857143,4.429020904898707,-1.8197751931187267,0.09071907447051443,1.37,2.02,21.77,33.33076923076923,638.7641735384615
5.962937,12567.857142857141,12942.857142857143,12642.857142857143,11771.42857142857,12914.285714285714,4.575117581154188,-1.8133715785914473,0.09547185097958837,1.48,1.85,21.93,28.384615384615383,637.8189544615385
5.982954,12639.285714285714,12914.285714285714,12714.285714285714,11942.857142857143,12985.714285714286,4.675878263033343,-1.7953508913317435,0.09879539831797352,1.48,2.11,21.54,34.246153846153845,637.7987298461538
6.002971,12710.714285714286,12828.57142857143,12757.142857142857,12385.714285714286,12871.42857142857,4.794774186774886,-1.7893878888787396,0.10268315789648434,1.48,2.11,21.93,23.9,636.5988550769231
6.022988,12682.142857142859,12600.0,12871.42857142857,12314.285714285714,12942.857142857143,4.966398795296468,-1.7828656092384745,0.10820971387834528,1.48,1.85,21.7,32.276923076923076,635.8827307692308
6.043004,12728.57142857143,12914.285714285714,13228.57142857143,11900.0,12871.42857142857,5.098957378346343,-1.8787266621033158,0.1125766702640201,1.48,1.6699999999999995,22.04,25.03846153846154,636.2313409230769
6.063021,12710.714285714286,12914.285714285714,13100.0,12142.857142857143,12685.714285714286,5.069340527273449,-1.8989091643057752,0.11168065619926927,1.78,1.7600000000000002,22.14,39.69230769230769,636.3989335384616
6.083038,12792.857142857143,12757.142857142857,12828.57142857143,12828.57142857143,12757.142857142857,5.21343457797504,-1.8844115775434602,0.11660843566882405,1.78,1.7600000000000002,21.59,36.07692307692308,636.0877958461539
6.103054,12742.857142857143,12942.857142857143,13071.42857142857,12385.714285714286,12571.42857142857,5.400876191484915,-1.8781321051314601,0.12293690621390055,1.78,2.11,22.8,35.43846153846154,635.2819690769231
