"Product","Blackbox flight data recorder by Nicholas Sherlock"
69344,70847601,6,11,-8,-4,-21,-39,32,222,0,0,0,16,3,-12,1386,3,0,-2,386,2294,3809,504,-2,-7,3,-7,-22,-10,-2217,-111,544,1135,513,1437,464,709,885,833,781,1,7,0,1,1,9,480373882,116405921,5794,942,2527,0.0472989707875771,1.0640043080920878,0.2330449435211852,34,212,-47,3,0,-2,38.6,5,7,-5,-5.715726971541528,579.3999859317341,-12.126411885245787,13.405946442673773,64.76337548527846
69360,70849601,0,54,-12,-4,-20,-40,-15,267,0,0,0,16,4,-12,1385,3,1,-2,385,2294,3809,504,3,-35,7,22,-53,24,-2092,-225,569,1392,451,1517,184,709,867,824,771,1,7,0,1,1,9,480373882,116405921,5794,942,2527,0.04732497031689436,1.0631951448131232,0.2330507784176774,-19,301,-52,3,1,-2,38.5,0,36,-9,-5.715726971541528,579.3999859317341,-12.126411885245787,13.405946442673773,64.76337548527846
69376,70851603,-5,62,-8,-4,-18,-41,-40,160,0,0,0,16,4,-12,1385,3,1,-2,384,2308,4196,504,6,-40,3,11,-28,-19,-2183,-9,630,1270,684,1266,312,721,904,811,759,1,7,0,1,1,9,480373882,116405921,5794,942,2527,0.04753941037471282,1.0622042750738587,0.23300974095173466,-49,204,-49,3,1,-2,38.4,-3,41,-5,-5.715726971541528,579.3999859317341,-12.126411885245787,13.405946442673773,64.76337548527846
69392,70853604,-7,48,-7,-5,-17,-41,-21,-6,0,0,0,16,3,-12,1384,3,1,-2,383,2308,4196,504,8,-31,3,-1,4,-3,-2202,-130,633,901,987,958,682,723,875,831,750,1,7,0,1,1,9,480373882,116405921,5794,942,2527,0.04765160010434415,1.0615385261541772,0.2331375049518858,-33,25,-48,3,1,-2,38.3,-5,32,-5,-5.715726971541528,579.3999859317341,-12.126411885245787,13.405946442673773,64.76337548527846
69408,70855606,-7,27,-9,-5,-16,-42,5,-101,0,0,0,16,3,-12,1384,3,1,-2,383,2308,4196,504,7,-17,4,-8,-38,33,-1990,56,736,628,1160,794,947,730,870,813,744,1,7,0,1,1,9,480373882,116405921,5794,942,2527,0.048128560188640854,1.0611992795444831,0.23285904988102768,-7,-90,-51,3,1,-2,38.3,-4,18,-6,-5.715726971541528,579.3999859317341,-12.126411885245787,13.405946442673773,64.76337548527846
69424,70857607,7,0,-5,-5,-16,-42,45,-156,0,0,0,16,4,-13,1384,3,1,-2,383,2308,4196,504,-2,1,1,1,39,-9,-1754,36,726,379,1205,734,1207,737,888,822,743,1,7,0,1,1,9,480373882,116405921,5794,942,2527,0.04812583185573506,1.0614086760908374,0.23277099401444534,47,-172,-47,3,1,-2,38.3,5,0,-3,-5.715726971541528,579.3999859317341,-12.126411885245787,13.405946442673773,64.76337548527846
69440,70859610,2,-32,-11,-5,-16,-43,8,-187,0,0,0,16,4,-13,1383,3,1,-2,382,2308,4196,495,1,22,5,5,24,18,-1858,48,748,323,1412,546,1232,719,880,831,739,1,7,0,1,1,9,480373882,116405921,5794,942,2527,0.048559397458371976,1.0623678915190773,0.23230436935365617,5,-235,-54,3,1,-2,38.2,2,-21,-7,-5.715726971541528,579.3999859317341,-12.126411885245787,13.405946442673773,64.76337548527846
69456,70861610,12,-44,-18,-4,-17,-44,33,-140,0,0,0,16,3,-12,1382,3,1,-2,381,2308,4196,495,-5,30,10,1,41,-23,-1824,91,909,304,1297,689,1219,709,896,802,773,1,7,0,1,1,9,480373882,116405921,5794,942,2527,0.04917900817974285,1.0634676800186758,0.23140161640153956,41,-201,-62,3,1,-2,38.1,8,-29,-12,-5.715726971541528,579.3999859317341,-12.126411885245787,13.405946442673773,64.76337548527846
69472,70863612,-3,-47,5,-4,-19,-44,-32,-56,0,0,0,16,3,-12,1381,3,1,-2,380,2308,4196,495,5,31,-5,2,32,5,-1833,-13,793,647,1253,647,958,698,904,806,771,1,7,0,1,1,9,480373882,116405921,5794,942,2527,0.04904993283783171,1.0647149358426697,0.2317271796763931,-39,-122,-39,3,1,-2,38,-2,-30,3,-5.715726971541528,579.3999859317341,-12.126411885245787,13.405946442673773,64.76337548527846
69488,70865614,-10,-49,-1,-5,-20,-44,-44,-27,0,0,0,15,3,-13,1381,3,0,-2,380,2308,4196,495,10,33,-2,17,15,0,-2079,29,812,722,1253,665,863,693,923,796,781,1,7,0,1,1,9,480373882,116405921,5794,942,2527,0.049357728298858844,1.0661049236523623,0.23175711204695393,-59,-96,-45,3,0,-2,38,-7,-33,0,-5.715726971541528,579.3999859317341,-12.126411885245787,13.405946442673773,64.76337548527846
69504,70867615,-6,-21,0,-5,-21,-44,-2,89,0,0,0,15,3,-13,1381,3,0,-2,380,2308,4196,495,7,14,-2,-5,-10,11,-2041,-54,681,904,895,1024,680,694,912,798,779,1,7,0,1,1,9,480373882,116405921,5794,942,2527,0.04937499912525335,1.0669098559224122,0.23197692690634675,-13,47,-44,3,0,-2,38,-4,-14,0,-5.715726971541528,579.3999859317341,-12.126411885245787,13.405946442673773,64.76337548527846
69520,70869617,4,19,1,-5,-21,-44,32,209,0,0,0,16,4,-11,1381,3,1,-2,380,2308,4196,495,0,-12,-3,4,-36,-8,-2154,108,595,1129,507,1406,463,704,909,806,767,1,7,0,1,1,9,480373882,116405921,5794,942,2527,0.04927761362079807,1.0669073990710276,0.23207930653390108,31,207,-43,3,1,-2,38,3,13,1,-5.715726971541528,579.3999859317341,-12.126411885245787,13.405946442673773,64.76337548527846
69536,70871619,1,47,-11,-5,-20,-44,9,201,0,0,1,16,4,-11,1381,3,1,-2,380,2345,3619,495,2,-30,6,-9,-31,-11,-2145,98,564,1196,539,1419,352,693,880,836,759,1,7,0,1,1,9,480373853,116405799,5794,949,2517,0.04974800230171281,1.0662807842153879,0.23160976944726208,5,228,-54,3,1,-2,38,1,31,-8,-6.038208350564105,579.3999838430303,-13.036266399051726,14.36677422777525,65.14711626591436
69552,70873620,10,66,-12,-5,-18,-45,30,168,0,0,1,16,3,-12,1381,3,1,-2,380,2345,3619,495,-4,-43,6,0,-52,35,-1980,77,538,1112,508,1456,431,706,882,820,748,1,7,0,1,1,9,480373853,116405799,5794,949,2517,0.04993397718894552,1.065158168832743,0.23122394629548015,35,216,-56,3,1,-2,38,7,44,-8,-6.038208350564105,579.3999838430303,-13.036266399051726,14.36677422777525,65.14711626591436
69568,70875621,4,51,-8,-4,-17,-45,-6,0,0,0,0,16,3,-12,1381,3,1,-2,381,2345,3619,495,0,-33,4,8,-6,-18,-2139,60,687,850,928,1030,699,718,888,840,735,1,7,0,1,1,9,480373853,116405799,5794,949,2517,0.05012359746826947,1.064347397203018,0.23099071382476044,-6,34,-53,3,1,-2,38.1,3,34,-6,-6.038208350564105,579.3999838430303,-13.036266399051726,14.36677422777525,65.14711626591436
69584,70877623,-3,32,-4,-4,-15,-46,-32,-78,0,0,-1,16,3,-12,1381,3,0,-2,381,2345,3619,495,5,-21,1,16,3,15,-1876,-30,694,741,1165,782,820,730,877,843,723,1,7,0,1,1,9,480373853,116405799,5794,949,2517,0.05018822962322934,1.0638572252986196,0.23108632905555027,-39,-61,-51,3,0,-2,38.1,-2,21,-3,-6.038208350564105,579.3999838430303,-13.036266399051726,14.36677422777525,65.14711626591436
69600,70879626,-5,-10,-10,-5,-15,-47,-24,-208,0,0,-1,16,3,-12,1381,3,0,-2,381,2345,3619,495,7,7,5,-4,14,-4,-1794,161,792,394,1489,480,1145,723,888,840,741,1,7,0,1,1,9,480373853,116405799,5794,949,2517,0.05096784284720228,1.064229799449693,0.23049325994256264,-34,-233,-58,3,0,-2,38.1,-4,-7,-7,-6.038208350564105,579.3999838430303,-13.036266399051726,14.36677422777525,65.14711626591436
69616,70881626,-3,-33,-14,-5,-16,-47,8,-189,0,0,0,16,4,-11,1381,3,1,-2,381,2345,3619,495,5,22,8,-5,41,7,-1755,76,832,309,1443,546,1211,706,872,829,737,1,7,0,1,1,9,480373853,116405799,5794,949,2517,0.05177088878477835,1.0650780852790287,0.22977615867868817,0,-238,-61,3,1,-2,38.1,-2,-21,-10,-6.038208350564105,579.3999838430303,-13.036266399051726,14.36677422777525,65.14711626591436
69632,70883628,4,-59,-1,-5,-17,-48,16,-179,0,0,0,16,4,-11,1381,3,1,-2,381,2345,3619,513,0,40,-1,9,51,3,-1850,200,840,271,1425,517,1296,703,904,817,748,1,7,0,1,1,9,480373853,116405799,5794,949,2517,0.0520964537178234,1.0665956080653272,0.22943178592306612,15,-255,-49,3,1,-2,38.1,3,-39,-1,-6.038208350564105,579.3999838430303,-13.036266399051726,14.36677422777525,65.14711626591436
69648,70885629,16,-63,3,-4,-19,-48,44,-104,0,0,0,16,3,-12,1380,3,1,-2,380,2345,3619,513,-8,42,-4,-22,40,-30,-1879,65,739,334,1207,715,1247,686,904,802,763,1,7,0,1,1,9,480373853,116405799,5794,949,2517,0.05174569223943648,1.0682715589746263,0.22950627942284108,56,-186,-45,3,1,-2,38,11,-41,2,-6.038208350564105,579.3999838430303,-13.036266399051726,14.36677422777525,65.14711626591436
69664,70887632,5,-40,-1,-4,-20,-48,-1,57,0,0,0,16,3,-12,1379,3,1,-2,378,2345,3619,513,-1,27,-1,14,-17,36,-1954,-22,658,771,973,958,784,668,904,802,763,1,7,0,1,1,9,480373853,116405799,5794,949,2517,0.051643096546639004,1.0695065037139915,0.22955264234567352,0,-3,-49,3,1,-2,37.8,4,-26,-1,-6.038208350564105,579.3999838430303,-13.036266399051726,14.36677422777525,65.14711626591436
69680,70889632,-4,-15,-8,-4,-21,-48,-39,141,0,0,0,16,4,-11,1378,3,1,-2,377,2345,3619,513,6,10,3,21,8,-15,-2181,-6,629,1052,868,1085,476,686,917,833,771,1,7,0,1,1,9,480373853,116405799,5794,949,2517,0.052012225890866626,1.0702457191104935,0.2293370885799586,-47,105,-56,3,1,-2,37.7,-3,-9,-5,-6.038208350564105,579.3999838430303,-13.036266399051726,14.36677422777525,65.14711626591436
69696,70891635,-4,14,-3,-4,-21,-48,-24,166,0,0,0,16,4,-11,1378,3,1,-2,377,2319,2583,513,5,-9,0,-13,-28,20,-2121,-168,496,1133,726,1207,414,690,906,831,769,1,7,0,1,1,9,480373853,116405799,5794,949,2517,0.051835254609050606,1.0704032362320288,0.2296654525105728,-32,159,-51,3,1,-2,37.7,-2,10,-2,-6.038208350564105,579.3999838430303,-13.036266399051726,14.36677422777525,65.14711626591436
69712,70893635,-5,61,-15,-4,-20,-49,-4,272,0,0,0,14,3,-12,1378,3,1,-2,377,2319,2583,513,6,-40,9,13,-65,-8,-2177,-38,623,1396,453,1587,158,688,875,826,743,1,7,0,1,1,9,480373853,116405799,5794,949,2517,0.05236693782102254,1.0693938368265146,0.22925692070920434,-13,313,-64,3,1,-2,37.7,-3,41,-11,-6.038208350564105,579.3999838430303,-13.036266399051726,14.36677422777525,65.14711626591436
69728,70895637,1,63,-9,-4,-18,-50,10,114,0,0,0,14,3,-12,1378,3,1,-2,377,2319,2583,513,2,-41,4,-10,-11,-10,-2250,-54,669,1046,669,1295,474,701,882,826,746,1,7,0,1,1,9,480373853,116405799,5794,949,2517,0.0524065903627501,1.0683555495915837,0.22924634663763754,7,159,-59,3,1,-2,37.7,1,42,-6,-6.038208350564105,579.3999838430303,-13.036266399051726,14.36677422777525,65.14711626591436
69744,70897638,1,48,9,-4,-17,-50,11,-4,0,0,0,13,3,-13,1378,2,0,-2,377,2319,2583,513,2,-31,-8,1,-39,8,-2023,-26,667,830,883,1014,755,718,882,845,716,1,7,0,1,1,9,480373853,116405799,5794,949,2517,0.05176675600658434,1.0676028749230317,0.23002321132447356,8,27,-41,2,0,-2,37.7,0,31,6,-6.038208350564105,579.3999838430303,-13.036266399051726,14.36677422777525,65.14711626591436
69760,70899640,4,35,-7,-4,-15,-50,20,-78,0,0,0,13,3,-13,1378,2,0,-2,377,2319,2583,513,-1,-22,2,15,6,5,-2007,-54,818,615,1051,905,913,719,872,857,732,1,7,0,1,1,9,480373853,116405799,5794,949,2517,0.051627315752814464,1.067035846725633,0.23010793152529274,20,-58,-57,2,0,-2,37.7,3,22,-4,-6.038208350564105,579.3999838430303,-13.036266399051726,14.36677422777525,65.14711626591436
69776,70901641,-3,-5,-16,-4,-15,-50,-22,-180,0,0,0,12,3,-12,1378,2,0,-2,378,2319,2583,513,4,4,9,4,31,30,-1937,5,848,422,1428,565,1070,713,882,852,708,1,7,0,1,1,9,480373853,116405799,5794,949,2517,0.05228472563826298,1.0673127518412922,0.22949831823407685,-29,-200,-66,2,0,-2,37.8,-2,-4,-11,-6.038208350564105,579.3999838430303,-13.036266399051726,14.36677422777525,65.14711626591436
69792,70903643,-3,-44,-17,-4,-16,-51,-18,-250,0,0,0,12,3,-12,1378,2,0,-2,378,2319,2583,513,4,29,10,-9,52,-15,-1857,1,823,206,1634,366,1280,690,888,813,732,1,7,0,1,1,9,480373853,116405799,5794,949,2517,0.05308531377532912,1.0684449418575648,0.22872601513361523,-25,-310,-68,2,0,-2,37.8,-2,-29,-12,-6.038208350564105,579.3999838430303,-13.036266399051726,14.36677422777525,65.14711626591436
69808,70905645,-4,-69,-8,-4,-17,-52,-4,-195,0,0,0,12,3,-12,1378,2,0,-2,377,2319,2583,513,5,46,4,8,30,2,-1851,-66,846,251,1540,429,1262,694,898,820,732,1,7,0,1,1,9,480373853,116405799,5794,949,2517,0.0534864971070096,1.0701625930705128,0.2284354333895875,-12,-281,-60,2,0,-2,37.7,-3,-46,-6,-6.038208350564105,579.3999838430303,-13.036266399051726,14.36677422777525,65.14711626591436
69824,70907646,-2,-65,11,-4,-19,-52,8,-83,0,0,0,12,3,-12,1377,2,0,-2,376,2319,2583,513,3,43,-9,10,56,-30,-2105,112,795,469,1259,632,1110,674,912,826,759,1,7,0,1,1,9,480373853,116405799,5794,949,2517,0.053278975012109764,1.0719222930463461,0.22879139596788622,2,-167,-41,2,0,-2,37.6,-1,-43,7,-6.038208350564105,579.3999838430303,-13.036266399051726,14.36677422777525,65.14711626591436
69840,70909648,7,-49,7,-4,-21,-52,34,43,0,0,0,11,4,-12,1376,2,1,-2,375,2319,2583,513,-3,33,-7,-25,-4,17,-1980,-66,534,660,932,969,904,662,898,809,765,1,7,0,1,1,9,480373853,116405799,5794,949,2517,0.05268014223516702,1.0734691275449941,0.2293090224070813,37,-27,-45,2,1,-2,37.5,5,-32,5,-6.038208350564105,579.3999838430303,-13.036266399051726,14.36677422777525,65.14711626591436
69856,70911649,9,-6,-4,-4,-22,-52,12,198,0,0,0,11,4,-12,1375,2,1,-2,374,2347,1696,513,-4,4,1,18,-38,31,-2148,-87,462,1049,617,1323,470,671,912,820,759,1,7,0,1,1,9,480373853,116405799,5794,949,2517,0.05243226512004676,1.0741033873362549,0.22937675162189564,17,170,-56,2,1,-2,37.4,6,-3,-3,-6.038208350564105,579.3999838430303,-13.036266399051726,14.36677422777525,65.14711626591436
69872,70913651,-6,35,-10,-4,-21,-52,-35,267,0,0,0,12,3,-13,1375,2,1,-2,374,2347,1696,513,6,-22,5,13,-17,-27,-2175,-43,486,1386,561,1452,158,676,896,829,739,1,7,0,1,1,9,480373853,116405799,5794,949,2517,0.052773963810756934,1.073815449952459,0.2291810213680474,-45,281,-62,2,1,-2,37.4,-4,23,-7,-6.038208350564105,579.3999838430303,-13.036266399051726,14.36677422777525,65.14711626591436
69888,70915652,-7,54,-11,-4,-20,-52,-37,175,0,0,0,12,3,-13,1375,2,1,-2,374,2347,1696,513,7,-35,5,-5,-34,7,-2203,-5,465,1229,682,1287,261,677,896,806,746,1,7,0,1,1,9,480373853,116405799,5794,949,2517,0.05317023734547169,1.0730996672326438,0.22896982348333417,-48,209,-63,2,1,-2,37.4,-5,36,-7,-6.038208350564105,579.3999838430303,-13.036266399051726,14.36677422777525,65.14711626591436
69904,70917654,1,45,-5,-4,-19,-53,20,55,0,0,0,11,3,-13,1375,2,0,-2,374,2347,1696,513,1,-29,1,-5,-24,-12,-2446,126,654,876,790,1160,634,691,904,840,728,1,7,0,1,1,9,480373853,116405799,5794,949,2517,0.05317027366062239,1.0720859393395004,0.22900953862908757,17,81,-58,2,0,-2,37.4,1,29,-3,-6.038208350564105,579.3999838430303,-13.036266399051726,14.36677422777525,65.14711626591436
69920,70919656,5,47,-1,-4,-17,-54,29,9,0,0,0,11,3,-13,1375,2,0,-2,374,2347,1696,513,-2,-30,-1,-4,-18,21,-2140,-35,712,777,840,1098,746,690,870,857,701,1,7,0,1,1,9,480373853,116405799,5794,949,2517,0.05281371308697979,1.0713622451556626,0.22930001042528225,30,39,-55,2,0,-2,37.4,4,30,-1,-6.038208350564105,579.3999838430303,-13.036266399051726,14.36677422777525,65.14711626591436
69936,70921657,1,15,-1,-4,-16,-54,-4,-121,0,0,0,11,4,-12,1375,2,1,-2,374,2347,1696,513,1,-9,-1,6,-8,8,-1845,30,724,545,1214,725,977,703,867,857,703,1,7,0,1,1,9,480373853,116405799,5794,949,2517,0.0527406733475258,1.0712479975762481,0.22940897268962956,-7,-122,-55,2,1,-2,37.4,1,10,-1,-6.038208350564105,579.3999838430303,-13.036266399051726,14.36677422777525,65.14711626591436
69952,70923659,2,-2,-13,-4,-16,-54,4,-130,0,0,0,11,4,-12,1375,2,1,-2,375,2347,1696,513,0,2,7,14,23,-9,-1696,-25,825,454,1268,717,1024,693,877,840,713,1,7,0,1,1,9,480373853,116405799,5794,949,2517,0.05308050172643404,1.0713768373879233,0.22900196291524644,2,-148,-67,2,1,-2,37.5,2,-1,-9,-6.038208350564105,579.3999838430303,-13.036266399051726,14.36677422777525,65.14711626591436
69968,70925660,-6,-33,-10,-4,-17,-55,-33,-171,0,0,0,11,3,-12,1375,2,1,-2,375,2347,1696,513,6,22,5,9,52,0,-1830,-9,871,407,1485,491,1080,694,893,820,719,1,7,0,1,1,9,480373853,116405799,5794,949,2517,0.053592488149535135,1.0722238468566723,0.2286396251799525,-43,-221,-65,2,1,-2,37.5,-4,-21,-7,-6.038208350564105,579.3999838430303,-13.036266399051726,14.36677422777525,65.14711626591436
69984,70927662,-10,-58,-1,-4,-18,-55,-35,-174,0,0,0,11,3,-12,1375,2,1,-2,375,2347,1696,513,9,38,-1,-9,56,-16,-1872,-3,850,381,1537,407,1138,679,896,804,730,1,7,0,1,1,9,480373853,116405799,5794,949,2517,0.053892784518387624,1.0736688571817181,0.22863763843653206,-49,-250,-56,2,1,-2,37.5,-7,-37,-1,-6.038208350564105,579.3999838430303,-13.036266399051726,14.36677422777525,65.14711626591436
70000,70929663,-5,-71,4,-4,-20,-55,1,-139,0,0,0,10,4,-12,1375,2,1,-2,374,2347,1696,513,5,47,-5,8,19,15,-1927,69,713,347,1413,511,1188,655,915,806,744,1,7,0,1,1,9,480373853,116405799,5794,949,2517,0.05395996431361885,1.0755457882084352,0.22875239274404358,-8,-230,-51,2,1,-2,37.4,-3,-46,3,-6.038208350564105,579.3999838430303,-13.036266399051726,14.36677422777525,65.14711626591436
70016,70931666,8,-49,0,-4,-22,-55,48,36,0,0,0,10,4,-12,1374,2,1,-2,373,2279,4791,513,-4,33,-2,-5,7,2,-2125,188,656,596,932,998,922,655,915,789,748,1,7,0,1,1,9,480373853,116405799,5794,949,2517,0.054062108011905904,1.0770380250038538,0.22849036076874985,52,-35,-55,2,1,-2,37.3,6,-32,0,-6.038208350564105,579.3999838430303,-13.036266399051726,14.36677422777525,65.14711626591436
70032,70933666,9,-3,-9,-4,-22,-56,34,222,0,0,0,11,3,-12,1373,2,1,-2,372,2279,4791,504,-4,2,4,-15,-30,12,-1912,-9,444,1038,539,1429,439,661,909,826,748,1,7,0,1,1,9,480373853,116405799,5794,949,2517,0.05413293382108643,1.077511659752599,0.22821899253520517,39,197,-65,2,1,-2,37.2,6,-1,-6,-6.038208350564105,579.3999838430303,-13.036266399051726,14.36677422777525,65.14711626591436
70048,70935669,7,38,-9,-4,-22,-56,1,257,0,0,0,11,3,-12,1373,2,1,-2,372,2279,4791,504,-3,-24,5,20,-36,-6,-1965,-17,374,1246,462,1508,228,664,893,831,735,1,7,0,1,1,9,480373853,116405799,5794,949,2517,0.05420522586021586,1.0771460174835583,0.22798019180102624,4,273,-65,2,1,-2,37.2,5,25,-7,-6.038208350564105,579.3999838430303,-13.036266399051726,14.36677422777525,65.14711626591436
70064,70937669,-6,49,-19,-4,-21,-57,-54,166,0,0,0,11,4,-13,1373,2,1,-2,372,2279,4791,504,6,-32,11,14,-11,2,-2133,72,508,1206,759,1253,227,664,912,806,732,1,7,0,1,1,9,480373853,116405799,5794,949,2517,0.05508651296862727,1.0764585685401482,0.22719928232284659,-64,194,-76,2,1,-2,37.2,-4,33,-13,-6.038208350564105,579.3999838430303,-13.036266399051726,14.36677422777525,65.14711626591436
70080,70939672,-10,43,-6,-4,-19,-57,-45,44,0,0,0,11,4,-13,1373,2,1,-2,372,2279,4791,504,9,-28,2,2,-15,4,-2262,147,485,981,963,1000,502,685,888,831,721,1,7,0,1,1,9,480373853,116405799,5794,949,2517,0.05563132774460166,1.0759891469693248,0.22693334333905746,-59,68,-63,2,1,-2,37.2,-7,29,-4,-6.038208350564105,579.3999838430303,-13.036266399051726,14.36677422777525,65.14711626591436
70096,70941672,1,31,4,-4,-18,-58,29,-48,0,0,0,10,4,-11,1373,2,1,-2,373,2279,4791,504,1,-20,-5,-24,-31,1,-1978,110,628,644,979,946,878,683,896,847,706,1,7,0,1,1,9,480373853,116405799,5794,949,2517,0.05539799702710051,1.0756075316311868,0.22723650083875668,26,-35,-54,2,1,-2,37.3,1,21,3,-6.038208350564105,579.3999838430303,-13.036266399051726,14.36677422777525,65.14711626591436
70112,70943674,9,19,-9,-4,-17,-58,44,-75,0,0,1,10,4,-11,1373,2,1,-2,373,2279,4791,504,-5,-12,5,-3,-8,18,-1661,-40,630,506,1030,942,969,693,877,855,704,1,7,0,1,1,9,480373853,116405799,5794,949,2517,0.05537751429778524,1.0753694466057278,0.22703300434782658,49,-73,-66,2,1,-2,37.3,7,13,-7,-6.038208350564105,579.3999838430303,-13.036266399051726,14.36677422777525,65.14711626591436
70128,70945676,5,0,-10,-4,-17,-58,1,-96,0,0,1,8,4,-12,1373,2,1,-2,372,2279,4791,504,-2,0,5,18,20,-5,-1665,64,851,515,1197,781,952,682,882,850,701,1,7,0,1,1,9,480373853,116405799,5794,949,2517,0.05565826208833832,1.075392399309811,0.226636187681315,2,-113,-67,2,1,-2,37.2,4,1,-7,-6.038208350564105,579.3999838430303,-13.036266399051726,14.36677422777525,65.14711626591436
70144,70947677,5,-28,-21,-4,-18,-59,2,-162,0,0,0,8,4,-12,1372,1,1,-2,372,2279,4791,504,-2,19,12,4,59,2,-1733,-40,831,310,1398,625,1108,680,896,831,719,1,7,0,1,1,9,480373853,116405799,5794,949,2517,0.056286447078543134,1.0761069782793486,0.22581920865649519,3,-208,-80,1,1,-2,37.2,3,-18,-14,-6.038208350564105,579.3999838430303,-13.036266399051726,14.36677422777525,65.14711626591436
70160,70949679,-8,-56,2,-4,-19,-60,-41,-168,0,0,-1,9,4,-13,1372,1,1,-2,371,2279,4791,504,7,38,-3,8,43,1,-1916,1,832,391,1531,410,1107,676,906,826,723,1,7,0,1,1,9,480373853,116405799,5794,949,2517,0.056398422417531145,1.0775787448149328,0.22595116408820015,-53,-243,-59,1,1,-2,37.1,-6,-37,1,-6.038208350564105,579.3999838430303,-13.036266399051726,14.36677422777525,65.14711626591436
70176,70951681,-11,-62,0,-4,-21,-60,-34,-104,0,0,-1,9,4,-13,1372,1,1,-2,372,2264,2422,504,9,42,-2,-10,24,-16,-1977,-82,818,484,1420,528,1007,656,909,806,733,1,7,0,1,1,9,480373853,116405799,5794,949,2517,0.05652111470824926,1.0792215177278155,0.22613010067319816,-49,-187,-61,1,1,-2,37.2,-8,-41,0,-6.038208350564105,579.3999838430303,-13.036266399051726,14.36677422777525,65.14711626591436
70192,70953682,0,-56,18,-4,-22,-59,13,-20,0,0,0,6,3,-12,1372,1,1,-2,372,2264,2422,504,1,37,-15,-1,5,8,-1940,-105,631,580,1109,769,982,647,938,802,737,1,7,0,1,1,9,480373853,116405799,5794,949,2517,0.05547559143442679,1.080830489929016,0.2273067925452441,9,-98,-41,1,1,-2,37.2,0,-36,13,-6.038208350564105,579.3999838430303,-13.036266399051726,14.36677422777525,65.14711626591436
70208,70955683,13,-6,-7,-4,-23,-59,73,188,-1,0,0,6,3,-12,1372,1,1,-2,372,2264,2422,504,-8,5,3,-7,-17,-15,-2098,-180,505,883,532,1437,588,651,915,838,741,1,7,0,1,1,9,480373853,116405799,5794,949,2517,0.055057991735253074,1.0814384954455418,0.22739170726734326,81,159,-66,1,1,-2,37.2,9,-4,-5,-6.038208350564105,579.3999838430303,-13.036266399051726,14.36677422777525,65.14711626591436
70224,70957685,3,39,-8,-4,-23,-59,-10,283,0,0,0,9,3,-12,1371,1,0,-2,371,2264,2422,504,-1,-25,3,13,-44,37,-1923,-233,464,1330,449,1540,158,676,882,840,714,1,7,0,1,1,9,480373853,116405799,5794,949,2517,0.05469121048918976,1.0809658204468497,0.22768694214867402,-11,299,-67,1,0,-2,37.1,2,25,-5,-6.038208350564105,579.3999838430303,-13.036266399051726,14.36677422777525,65.14711626591436
70240,70959687,-9,60,-16,-4,-21,-60,-45,215,3,0,0,9,3,-12,1371,1,0,-2,370,2264,2422,530,8,-39,9,17,-33,-16,-1962,-127,428,1323,653,1402,158,667,904,824,723,1,7,0,1,1,9,480373853,116405799,5794,949,2517,0.05516285966394812,1.0800305896698479,0.22740932442933204,-55,254,-76,1,0,-2,37,-7,39,-11,-6.038208350564105,579.3999838430303,-13.036266399051726,14.36677422777525,65.14711626591436
70256,70961688,-12,49,3,-4,-20,-61,-46,29,2,0,0,6,3,-12,1370,1,0,-2,369,2264,2422,530,10,-31,-4,10,-6,-12,-2151,-82,487,970,967,962,523,674,901,840,706,1,7,0,1,1,9,480373853,116405799,5794,949,2517,0.05495573779758715,1.0794290622118716,0.22798812447371475,-60,58,-58,1,0,-2,36.9,-9,31,2,-6.038208350564105,579.3999838430303,-13.036266399051726,14.36677422777525,65.14711626591436
70272,70963691,-7,29,-4,-4,-18,-61,9,-69,-2,0,0,6,3,-12,1370,1,0,-2,369,2264,2422,530,6,-19,1,-23,-19,8,-2128,49,650,630,1097,861,834,673,898,840,694,1,7,0,1,1,9,480373853,116405799,5794,949,2517,0.0551843950720812,1.0791077527519357,0.2279489960459946,-4,-58,-65,1,0,-2,36.9,-5,19,-3,-6.038208350564105,579.3999838430303,-13.036266399051726,14.36677422777525,65.14711626591436
70288,70965691,9,0,6,-4,-18,-61,51,-157,-3,0,0,6,3,-13,1370,1,0,-2,369,2264,2422,530,-6,1,-6,-11,16,-4,-1858,93,624,320,1189,728,1182,683,893,836,690,1,7,0,1,1,9,480373853,116405799,5794,949,2517,0.05468749154518846,1.0794121264111678,0.22827268530582856,53,-175,-55,1,0,-2,36.9,7,-1,4,-6.038208350564105,579.3999838430303,-13.036266399051726,14.36677422777525,65.14711626591436
70304,70967693,10,-17,-10,-4,-18,-61,51,-145,-2,0,0,6,3,-13,1369,1,0,-2,367,2264,2422,530,-6,11,5,-2,20,21,-1746,20,643,273,1224,750,1162,658,893,836,708,1,7,0,1,1,9,480373853,116405799,5794,949,2517,0.05481737448158445,1.079990792156078,0.22787207990438052,55,-180,-71,1,0,-2,36.7,7,-11,-7,-6.038208350564105,579.3999838430303,-13.036266399051726,14.36677422777525,65.14711626591436
